,time,asv_1,asv_2
451,194.75551295280457,"(63.33113472641156, 10.080091753402389)","(63.32961696121226, 10.079715320130987)"
452,195.00029587745667,"(63.33113931007392, 10.080090607486797)","(63.32961237754991, 10.079716752525474)"
453,195.7559220790863,"(63.33114360725739, 10.080089461571209)","(63.32960779388755, 10.079718184919964)"
454,196.00016593933105,"(63.33114790444085, 10.080088315655619)","(63.32960349670408, 10.079719617314451)"
455,196.75531792640686,"(63.331152488103214, 10.080087169740029)","(63.32959919952061, 10.079721049708938)"
456,196.99992394447327,"(63.331157071765574, 10.080086023824437)","(63.32959461585825, 10.079722482103426)"
457,197.7554030418396,"(63.33116136894904, 10.080084877908845)","(63.32959003219589, 10.079723914497913)"
458,197.99971890449524,"(63.331165666132506, 10.080083731993255)","(63.32958573501243, 10.079725346892403)"
459,198.75543189048767,"(63.331170249794866, 10.080082299598768)","(63.32958143782896, 10.07972677928689)"
460,199.00034499168396,"(63.33117483345722, 10.08008086720428)","(63.3295768541666, 10.079728211681378)"
461,199.75545001029968,"(63.33117913064068, 10.08007972128869)","(63.329572270504244, 10.079729644075865)"
462,200.00115489959717,"(63.33118342782414, 10.0800785753731)","(63.32956797332078, 10.079731076470352)"
463,200.75537586212158,"(63.33118801148651, 10.08007742945751)","(63.32956367613732, 10.079732508864842)"
464,200.99994707107544,"(63.33119259514888, 10.08007628354192)","(63.32955909247495, 10.07973394125933)"
465,201.75535607337952,"(63.33119689233234, 10.08007513762633)","(63.32955450881259, 10.079735373653817)"
466,202.00001192092896,"(63.3312011895158, 10.080073991710739)","(63.329550211629126, 10.079736806048306)"
467,202.75542402267456,"(63.33120577317816, 10.080072559316251)","(63.32954591444567, 10.079738238442793)"
468,203.0001358985901,"(63.33121035684052, 10.080071126921764)","(63.32954133078331, 10.07973967083728)"
469,203.75543189048767,"(63.33121494050289, 10.080069981006172)","(63.32953674712095, 10.079741103231768)"
470,203.99991106987,"(63.33121952416525, 10.080068835090582)","(63.32953244993749, 10.079742535626256)"
471,204.75539302825928,"(63.331223821348715, 10.080067689174992)","(63.32952815275402, 10.079743968020745)"
472,205.00047302246094,"(63.331228118532174, 10.080066543259404)","(63.32952356909166, 10.079745400415232)"
473,205.75540804862976,"(63.331232702194534, 10.080065397343812)","(63.329518985429296, 10.07974683280972)"
474,206.0001358985901,"(63.33123728585689, 10.080064251428222)","(63.32951468824583, 10.07974826520421)"
475,206.75697088241577,"(63.33124158304035, 10.080062819033735)","(63.329510391062364, 10.079749697598697)"
476,207.0001049041748,"(63.33124588022382, 10.080061386639247)","(63.32950580740001, 10.079751129993184)"
477,207.7558629512787,"(63.33125046388618, 10.080060240723657)","(63.32950122373765, 10.079752562387672)"
478,207.99997687339783,"(63.33125504754853, 10.080059094808066)","(63.329496926554185, 10.079753994782159)"
479,208.75543999671936,"(63.331259344732004, 10.080057948892476)","(63.329492629370726, 10.079755427176647)"
480,208.99997401237488,"(63.33126364191547, 10.080056802976886)","(63.32948804570836, 10.079756859571134)"
481,209.75915098190308,"(63.33126822557783, 10.080055657061296)","(63.32948346204599, 10.079758291965623)"
482,209.99997806549072,"(63.33127280924019, 10.080054511145706)","(63.32947916486253, 10.079759437881213)"
483,210.7556939125061,"(63.331277106423656, 10.080053078751217)","(63.32947486767907, 10.079760583796803)"
484,210.99990701675415,"(63.331281403607115, 10.08005164635673)","(63.32947028401671, 10.07976201619129)"
485,211.75537395477295,"(63.331285987269474, 10.08005050044114)","(63.32946570035435, 10.079763448585778)"
486,211.9999508857727,"(63.331290570931834, 10.08004935452555)","(63.32946140317088, 10.079764880980266)"
487,212.7556130886078,"(63.33129486811531, 10.08004820860996)","(63.32945710598742, 10.079766313374753)"
488,212.99995708465576,"(63.33129916529877, 10.080047062694367)","(63.329452522325056, 10.079767745769242)"
489,213.7563819885254,"(63.33130374896113, 10.080045916778777)","(63.329447938662696, 10.07976917816373)"
490,213.9997000694275,"(63.331308332623486, 10.080044770863188)","(63.32944364147923, 10.079770610558217)"
491,214.75603795051575,"(63.331312916285846, 10.080043624947598)","(63.32943934429577, 10.079772042952705)"
492,215.0002269744873,"(63.331317499948206, 10.080042479032008)","(63.32943476063341, 10.079773475347192)"
493,215.75582909584045,"(63.331321797131665, 10.08004104663752)","(63.32943017697105, 10.079774907741681)"
494,216.00253701210022,"(63.33132609431513, 10.080039614243033)","(63.32942587978759, 10.079776340136169)"
495,216.75625896453857,"(63.3313306779775, 10.08003846832744)","(63.32942158260413, 10.079777772530656)"
496,217.0076138973236,"(63.331335261639865, 10.080037322411851)","(63.32941699894177, 10.079779204925146)"
497,217.7557179927826,"(63.33133955882333, 10.080036176496261)","(63.3294124152794, 10.079780637319633)"
498,218.00003600120544,"(63.33134385600679, 10.080035030580671)","(63.329408118095934, 10.07978206971412)"
499,218.75554203987122,"(63.33134843966914, 10.080033884665081)","(63.32940382091247, 10.079783502108608)"
500,219.00018501281738,"(63.3313530233315, 10.08003273874949)","(63.329399237250115, 10.079784934503095)"
501,219.75821995735168,"(63.33135732051497, 10.080031306355002)","(63.329394653587755, 10.079786366897585)"
502,220.00006794929504,"(63.33136161769843, 10.080029873960514)","(63.32939035640429, 10.079787799292072)"
503,220.75555896759033,"(63.331366201360794, 10.080028728044924)","(63.32938605922083, 10.07978923168656)"
504,221.00113487243652,"(63.33137078502316, 10.080027582129334)","(63.32938147555846, 10.079790664081049)"
505,221.7556450366974,"(63.33137508220662, 10.080026436213743)","(63.329376891896096, 10.079792096475536)"
506,221.99993705749512,"(63.331379379390086, 10.080025290298153)","(63.32937259471264, 10.079793528870024)"
507,222.7555069923401,"(63.331383963052446, 10.080024144382563)","(63.32936829752917, 10.079794961264511)"
508,223.00003099441528,"(63.331388546714805, 10.080022998466973)","(63.32936371386681, 10.079796393658999)"
509,223.75593495368958,"(63.33139284389827, 10.080021566072485)","(63.32935913020445, 10.079797826053486)"
510,223.99991297721863,"(63.33139714108173, 10.080020133677996)","(63.329354833020986, 10.079799258447974)"
511,224.7555730342865,"(63.3314017247441, 10.080018987762406)","(63.32935053583753, 10.079800690842463)"
512,225.00015997886658,"(63.33140630840646, 10.080017841846816)","(63.32934595217516, 10.079802123236949)"
513,225.75641202926636,"(63.33141089206882, 10.080016695931226)","(63.3293413685128, 10.079803555631436)"
514,225.99997687339783,"(63.33141547573118, 10.080015550015636)","(63.329337071329334, 10.079804988025924)"
515,226.75581002235413,"(63.33141977291464, 10.080014404100046)","(63.329332774145875, 10.079806420420413)"
516,227.00037693977356,"(63.3314240700981, 10.080013258184456)","(63.32932847696242, 10.0798078528149)"
517,227.75561904907227,"(63.33142865376047, 10.080012112268864)","(63.32932417977895, 10.079809285209388)"
518,227.9999439716339,"(63.33143323742283, 10.080010966353274)","(63.32931959611659, 10.079810717603877)"
519,228.75548887252808,"(63.331437534606295, 10.080009533958787)","(63.32931501245423, 10.079812149998364)"
520,229.0006148815155,"(63.33144183178975, 10.0800081015643)","(63.329310715270765, 10.079813582392852)"
521,229.75539898872375,"(63.33144641545211, 10.08000695564871)","(63.329306418087306, 10.07981501478734)"
522,230.00012588500977,"(63.33145099911447, 10.080005809733118)","(63.32930183442494, 10.079816447181827)"
523,230.7556118965149,"(63.33145558277683, 10.08000466381753)","(63.32929725076258, 10.079817879576316)"
524,231.00150108337402,"(63.33146016643919, 10.08000351790194)","(63.32929295357911, 10.079819311970803)"
525,231.75649690628052,"(63.331464463622666, 10.08000237198635)","(63.32928865639565, 10.079820744365291)"
