timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1709815769.284631, caravela-2, 7, -0.01544219, 0.000000
1709815770.333726, caravela-2, 7, -0.01544435, 0.000000
1709815771.334416, caravela-2, 7, -0.01544563, 0.000000
1709815772.384230, caravela-2, 7, -0.01544208, 0.000000
1709815773.433646, caravela-2, 7, -0.01544422, 0.000000
1709815774.434036, caravela-2, 7, -0.01544634, 0.000000
1709815775.433700, caravela-2, 7, -0.0154447, 0.000000
1709815776.483759, caravela-2, 7, -0.0154469, 0.000000
1709815777.483822, caravela-2, 7, -0.01544156, 0.000000
1709815778.483936, caravela-2, 7, -0.01544183, 0.000000
1709815779.533960, caravela-2, 7, -0.01544297, 0.000000
1709815780.583662, caravela-2, 7, -0.01544564, 0.000000
1709815781.583664, caravela-2, 7, -0.01544315, 0.000000
1709815782.584022, caravela-2, 7, -0.01544451, 0.000000
1709815783.633520, caravela-2, 7, -0.01544988, 0.000000
1709815784.633542, caravela-2, 7, -0.01544669, 0.000000
1709815785.633560, caravela-2, 7, -0.01544525, 0.000000
1709815786.634417, caravela-2, 7, -0.01544721, 0.000000
1709815787.634426, caravela-2, 7, -0.0154496, 0.000000
1709815788.683450, caravela-2, 7, -0.01545219, 0.000000
1709815789.683502, caravela-2, 7, -0.01545928, 0.000000
1709815790.683833, caravela-2, 7, -0.01544964, 0.000000
1709815791.733995, caravela-2, 7, -0.01545576, 0.000000
1709815792.783601, caravela-2, 7, -0.01544443, 0.000000
1709815793.783766, caravela-2, 7, -0.0154491, 0.000000
1709815794.784166, caravela-2, 7, -0.01544994, 0.000000
1709815795.833449, caravela-2, 7, -0.01544817, 0.000000
1709815796.833673, caravela-2, 7, -0.01544431, 0.000000
1709815797.884539, caravela-2, 7, -0.01544503, 0.000000
1709815798.933524, caravela-2, 7, -0.01543879, 0.000000
1709815799.983650, caravela-2, 7, -0.01544449, 0.000000
1709815801.033862, caravela-2, 7, -0.01545008, 0.000000
1709815802.083647, caravela-2, 7, -0.01544256, 0.000000
1709815803.133622, caravela-2, 7, -0.01544497, 0.000000
1709815804.134854, caravela-2, 7, -0.01544892, 0.000000
1709815805.188892, caravela-2, 7, -0.01544258, 0.000000
1709815806.233471, caravela-2, 7, -0.01544196, 0.000000
1709815807.234334, caravela-2, 7, -0.01544114, 0.000000
1709815808.283964, caravela-2, 7, -0.01543948, 0.000000
1709815809.284209, caravela-2, 7, -0.0154406, 0.000000
1709815810.284425, caravela-2, 7, -0.01542856, 0.000000
1709815811.333613, caravela-2, 7, -0.01543325, 0.000000
1709815812.383555, caravela-2, 7, -0.01543976, 0.000000
1709815813.392493, caravela-2, 7, -0.01543512, 0.000000
1709815814.433859, caravela-2, 7, -0.01543561, 0.000000
1709815815.483565, caravela-2, 7, -0.01544516, 0.000000
1709815816.534374, caravela-2, 7, -0.01544702, 0.000000
1709815817.535982, caravela-2, 7, -0.01545091, 0.000000
1709815818.584116, caravela-2, 7, -0.01545415, 0.000000
1709815819.633537, caravela-2, 7, -0.01546149, 0.000000
1709815820.686139, caravela-2, 7, -0.01545829, 0.000000
1709815821.683754, caravela-2, 7, -0.01545829, 0.000000
1709815822.683828, caravela-2, 7, -0.01545829, 0.000000
1709815823.733678, caravela-2, 7, -0.01545829, 0.000000
1709815824.783715, caravela-2, 7, -0.01545829, 0.000000
1709815825.833518, caravela-2, 7, -0.01545829, 0.000000
1709815826.833512, caravela-2, 7, -0.01545829, 0.000000
1709815827.834972, caravela-2, 7, -0.01545829, 0.000000
1709815828.883893, caravela-2, 7, -0.01545829, 0.000000
1709815829.884168, caravela-2, 7, -0.01545829, 0.000000
1709815830.887278, caravela-2, 7, -0.01545702, 0.000000
