,time,asv_1,asv_2,asv_3
383,112.32529306411743,"(63.33033678718888, 10.080626132039313)","(63.33021551112225, 10.079776817600997)","(63.33066948468192, 10.080396566949398)"
384,112.8316171169281,"(63.33033984296378, 10.080624795137792)","(63.33021570210818, 10.079783502108608)","(63.330672158484965, 10.08039351117449)"
385,112.99962401390076,"(63.33034289873869, 10.08062345823627)","(63.330215893094106, 10.079790186616217)","(63.33067483228801, 10.080390455399584)"
386,113.32521510124207,"(63.33034576352767, 10.080622121334748)","(63.330216084080035, 10.079796871123827)","(63.33067750609106, 10.080387399624676)"
387,113.83127307891846,"(63.33034862831665, 10.080620784433226)","(63.330216275065965, 10.079803555631436)","(63.330679988908166, 10.080384534835702)"
388,113.9996280670166,"(63.330351493105624, 10.080619447531705)","(63.3302164660519, 10.079809667181252)","(63.330682471725275, 10.080381670046725)"
389,114.32556200027466,"(63.3303543578946, 10.08061791964425)","(63.33021665703783, 10.079815778731067)","(63.330684954542384, 10.08037880525775)"
390,114.83162713050842,"(63.330357222683574, 10.080616391756797)","(63.33021684802377, 10.079821890280883)","(63.3306874373595, 10.080375558496911)"
391,114.99959301948547,"(63.33036008747255, 10.080614863869343)","(63.330217039009696, 10.07982819281663)","(63.33068992017661, 10.08037231173607)"
392,115.32550692558289,"(63.33036314324745, 10.080613526967822)","(63.33021722999563, 10.079834495352374)","(63.330692402993726, 10.080369064975232)"
393,115.83200097084045,"(63.33036619902236, 10.080612190066299)","(63.33021742098156, 10.07984079788812)","(63.330694885810836, 10.08036562722846)"
394,115.99957513809204,"(63.33036925479726, 10.080610853164778)","(63.33021722999563, 10.079847482395731)","(63.330697368627945, 10.08036218948169)"
395,116.32522797584534,"(63.33037211958624, 10.080609516263255)","(63.330217039009696, 10.07985416690334)","(63.330699851445054, 10.080358751734918)"
396,116.83197212219238,"(63.33037498437521, 10.080608179361734)","(63.33021684802377, 10.07986085141095)","(63.330701952290305, 10.080355313988148)"
397,116.999596118927,"(63.330377849164186, 10.080606842460211)","(63.33021684802377, 10.079867344932628)","(63.33070405313555, 10.080351876241377)"
398,117.33873414993286,"(63.3303809049391, 10.080605314572757)","(63.33021684802377, 10.079873838454308)","(63.3307061539808, 10.080348438494607)"
399,117.83131504058838,"(63.33038396071401, 10.080603786685304)","(63.33021684802377, 10.079880331975986)","(63.330708636797915, 10.080344809761904)"
400,117.99957609176636,"(63.33038701648892, 10.08060225879785)","(63.33021665703783, 10.079887016483596)","(63.330711119615025, 10.080341181029201)"
401,118.32520794868469,"(63.330389881277895, 10.080600921896329)","(63.3302164660519, 10.079893700991205)","(63.33071360243214, 10.080337552296498)"
402,118.83121013641357,"(63.33039274606687, 10.080599584994806)","(63.330216275065965, 10.079900385498815)","(63.33071608524925, 10.080334114549728)"
