,time,asv_1,asv_2
148,69.99999809265137,"(63.330096813365685, 10.080175405240478)","(63.33073881257513, 10.07986314324213)"
149,70.97631311416626,"(63.330101110549144, 10.080176551156068)","(63.33074110440631, 10.07986314324213)"
150,70.99992203712463,"(63.33010569421151, 10.080177697071658)","(63.33074339623749, 10.07986314324213)"
151,71.97714400291443,"(63.33011027787387, 10.080178842987248)","(63.33074568806867, 10.07986314324213)"
152,71.99998092651367,"(63.33011486153623, 10.080179988902838)","(63.33074797989985, 10.07986314324213)"
153,72.97621011734009,"(63.33011944519859, 10.080181134818428)","(63.33075027173103, 10.07986314324213)"
154,73.00757598876953,"(63.33012374238206, 10.080182280734018)","(63.33075256356221, 10.07986314324213)"
155,73.97623801231384,"(63.330128039565516, 10.08018342664961)","(63.330754568914486, 10.07986314324213)"
156,73.99997806549072,"(63.330132623227875, 10.0801845725652)","(63.33075657426677, 10.07986314324213)"
157,74.97618007659912,"(63.330137206890235, 10.08018571848079)","(63.33075886609796, 10.07986314324213)"
158,74.9999361038208,"(63.33014150407371, 10.080186864396381)","(63.330761157929146, 10.07986314324213)"
159,75.97634410858154,"(63.330145801257174, 10.080188010311971)","(63.330763449760326, 10.079863429721028)"
160,75.99995303153992,"(63.330150384919534, 10.080189156227561)","(63.3307657415915, 10.079863716199926)"
161,76.97621703147888,"(63.33015496858189, 10.08019030214315)","(63.33076803342268, 10.079863716199926)"
162,77.00086212158203,"(63.33015926576535, 10.080191448058741)","(63.33077032525386, 10.079863716199926)"
163,77.97622895240784,"(63.33016356294882, 10.080192593974331)","(63.33077261708504, 10.079863716199926)"
164,77.99993705749512,"(63.33016814661117, 10.080193739889921)","(63.33077490891622, 10.079863716199926)"
165,78.97620701789856,"(63.33017273027353, 10.080194885805511)","(63.3307769142685, 10.079863716199926)"
166,78.99985003471375,"(63.3301773139359, 10.080196031721101)","(63.33077891962078, 10.079863716199926)"
167,79.97623610496521,"(63.330181897598266, 10.080197177636693)","(63.33078121145196, 10.079863716199926)"
168,79.99992799758911,"(63.33018619478173, 10.080198323552283)","(63.33078350328314, 10.079863716199926)"
169,80.9762110710144,"(63.33019049196519, 10.080199469467873)","(63.33078579511432, 10.079863716199926)"
170,81.0,"(63.33019507562754, 10.080200615383463)","(63.3307880869455, 10.079863716199926)"
171,81.97971892356873,"(63.3301996592899, 10.080201761299053)","(63.33079037877669, 10.079863716199926)"
172,82.00030398368835,"(63.33020395647337, 10.080202907214645)","(63.33079267060788, 10.079863716199926)"
173,82.97622394561768,"(63.33020825365683, 10.080204053130235)","(63.33079496243906, 10.079863716199926)"
174,83.0000901222229,"(63.330212837319195, 10.080205199045825)","(63.33079725427023, 10.079863716199926)"
175,83.97641491889954,"(63.33021742098156, 10.080206344961415)","(63.330799259622516, 10.079864002678825)"
176,83.99997591972351,"(63.33022200464392, 10.080207204398107)","(63.3308012649748, 10.079864289157722)"
177,84.97632312774658,"(63.33022658830628, 10.0802080638348)","(63.33080355680598, 10.079864289157722)"
178,84.99998092651367,"(63.33023088548974, 10.08020920975039)","(63.33080584863716, 10.079864289157722)"
179,85.98925995826721,"(63.330235182673206, 10.08021035566598)","(63.330808140468335, 10.079864289157722)"
180,86.00003409385681,"(63.330239766335566, 10.08021150158157)","(63.330810432299515, 10.079864289157722)"
181,86.97619605064392,"(63.33024434999793, 10.080212647497161)","(63.330812724130695, 10.079864289157722)"
182,87.00112104415894,"(63.33024864718139, 10.080213793412753)","(63.330815015961875, 10.079864289157722)"
183,87.97621703147888,"(63.33025294436486, 10.080214939328343)","(63.330817307793055, 10.079864289157722)"
184,88.00047612190247,"(63.33025752802722, 10.080216085243933)","(63.330819599624235, 10.079864289157722)"
185,88.97630500793457,"(63.33026211168958, 10.080217231159521)","(63.33082189145542, 10.079864289157722)"
186,88.99995303153992,"(63.330266408873044, 10.080218090596215)","(63.33082418328661, 10.079864289157722)"
187,89.97625803947449,"(63.3302707060565, 10.080218950032908)","(63.330826188638895, 10.079864289157722)"
188,90.00018310546875,"(63.33027528971887, 10.080220095948498)","(63.330828193991174, 10.079864289157722)"
189,90.97624897956848,"(63.33027987338123, 10.080221241864088)","(63.330830485822354, 10.079864289157722)"
190,90.99993896484375,"(63.33028445704359, 10.080222387779678)","(63.330832777653534, 10.079864289157722)"
191,91.97621393203735,"(63.33028904070595, 10.080223533695268)","(63.33083506948471, 10.07986457563662)"
192,91.99993515014648,"(63.330293337889415, 10.08022439313196)","(63.33083736131589, 10.079864862115517)"
193,92.97634100914001,"(63.330297635072874, 10.080225252568654)","(63.330839653147066, 10.079864862115517)"
194,92.99996995925903,"(63.33030221873524, 10.080226398484244)","(63.330841944978246, 10.079864862115517)"
195,93.97686910629272,"(63.33030680239761, 10.080227544399834)","(63.330844236809426, 10.079864862115517)"
196,94.00000309944153,"(63.33031109958107, 10.080228403836527)","(63.330846528640606, 10.079864862115517)"
197,94.97682404518127,"(63.33031539676453, 10.08022926327322)","(63.33084853399289, 10.079864862115517)"
198,94.99997591972351,"(63.33031998042689, 10.08023040918881)","(63.33085053934518, 10.079864862115517)"
199,95.97653412818909,"(63.330324564089246, 10.0802315551044)","(63.33085283117636, 10.079864862115517)"
200,95.99999904632568,"(63.330329147751605, 10.080232701019991)","(63.33085512300753, 10.079864862115517)"
201,96.97621393203735,"(63.330333731413965, 10.080233846935581)","(63.33085741483872, 10.079864862115517)"
202,97.00001502037048,"(63.330338028597424, 10.080234706372273)","(63.330859706669905, 10.079864862115517)"
203,97.97621512413025,"(63.33034232578089, 10.080235565808966)","(63.330861998501085, 10.079864862115517)"
204,97.99999499320984,"(63.33034690944326, 10.080236711724556)","(63.330864290332265, 10.079864862115517)"
205,98.9762670993805,"(63.330351493105624, 10.080237857640146)","(63.330866582163445, 10.079864862115517)"
206,99.00002002716064,"(63.33035579028909, 10.080238717076838)","(63.330868873994625, 10.079864862115517)"
207,99.97769594192505,"(63.33036008747255, 10.080239576513533)","(63.3308711658258, 10.079865148594415)"
208,100.00002002716064,"(63.3303646711349, 10.080240722429123)","(63.33087345765698, 10.079865435073312)"
209,100.97885704040527,"(63.33036925479726, 10.080241868344713)","(63.330875463009264, 10.079865435073312)"
210,101.00027799606323,"(63.33037355198073, 10.080242727781405)","(63.33087746836155, 10.079865435073312)"
211,101.97623014450073,"(63.330377849164186, 10.080243587218098)","(63.33087976019273, 10.079865435073312)"
212,102.00012397766113,"(63.33038243282655, 10.08024473313369)","(63.33088205202391, 10.079865435073312)"
213,102.97777795791626,"(63.33038701648892, 10.08024587904928)","(63.33088434385509, 10.079865435073312)"
214,102.99996399879456,"(63.33039160015128, 10.080246738485972)","(63.33088663568626, 10.079865435073312)"
215,103.97622013092041,"(63.33039618381364, 10.080247597922662)","(63.33088892751745, 10.079865435073312)"
216,104.0000069141388,"(63.3304004809971, 10.080248743838254)","(63.330891219348636, 10.079865435073312)"
217,104.9768431186676,"(63.330404778180565, 10.080249889753844)","(63.330893511179816, 10.079865435073312)"
218,104.99993896484375,"(63.330409361842925, 10.080250749190537)","(63.330895803010996, 10.079865435073312)"
219,105.97619199752808,"(63.33041394550529, 10.080251608627231)","(63.330897808363275, 10.079865435073312)"
220,105.9999361038208,"(63.33041824268875, 10.080252468063922)","(63.33089981371556, 10.079865435073312)"
221,106.97620701789856,"(63.33042253987222, 10.080253327500614)","(63.33090210554674, 10.079865435073312)"
222,106.99994206428528,"(63.33042712353458, 10.080254473416204)","(63.33090439737792, 10.079865435073312)"
223,107.97621703147888,"(63.33043170719694, 10.080255619331796)","(63.3309066892091, 10.07986572155221)"
224,107.99991703033447,"(63.330436290859296, 10.08025647876849)","(63.33090898104028, 10.079866008031107)"
225,108.97619104385376,"(63.33044087452166, 10.080257338205183)","(63.33091127287146, 10.079866008031107)"
226,108.9999520778656,"(63.33044517170512, 10.080258197641875)","(63.33091356470264, 10.079866008031107)"
227,109.97621703147888,"(63.33044946888859, 10.080259057078566)","(63.33091585653382, 10.079866008031107)"
228,110.00008201599121,"(63.33045405255095, 10.08025991651526)","(63.33091814836501, 10.079866008031107)"
229,110.97689008712769,"(63.33045863621331, 10.080260775951952)","(63.33092044019619, 10.079866008031107)"
230,110.99994611740112,"(63.330462933396774, 10.080261921867542)","(63.33092273202737, 10.079866008031107)"
231,111.97628211975098,"(63.33046723058023, 10.080263067783132)","(63.33092473737965, 10.079866008031107)"
232,111.99995303153992,"(63.3304718142426, 10.080263927219825)","(63.33092674273193, 10.079866008031107)"
233,112.97622299194336,"(63.33047639790497, 10.080264786656517)","(63.33092903456311, 10.079866008031107)"
234,112.99989295005798,"(63.33048098156732, 10.08026564609321)","(63.33093132639429, 10.079866008031107)"
235,113.97620511054993,"(63.33048556522968, 10.080266505529904)","(63.33093361822547, 10.079866008031107)"
236,113.9999771118164,"(63.330489862413145, 10.080267364966597)","(63.33093591005665, 10.079866008031107)"
237,114.97620391845703,"(63.330494159596604, 10.080268224403289)","(63.33093820188783, 10.079866008031107)"
238,114.99996304512024,"(63.330498743258964, 10.080269083839982)","(63.33094049371901, 10.079866008031107)"
239,115.97812294960022,"(63.330503326921324, 10.080269943276674)","(63.33094278555019, 10.079866294510005)"
240,116.01731014251709,"(63.33050762410478, 10.080270802713367)","(63.33094507738137, 10.079866580988902)"
241,116.97621202468872,"(63.33051192128825, 10.080271662150059)","(63.33094736921255, 10.079866580988902)"
242,116.99992513656616,"(63.330516504950616, 10.080272521586753)","(63.33094966104374, 10.079866580988902)"
243,117.97621202468872,"(63.33052108861298, 10.080273381023446)","(63.330951666396025, 10.079866580988902)"
244,117.99989604949951,"(63.33052567227534, 10.080274240460138)","(63.33095367174831, 10.079866580988902)"
245,118.97619295120239,"(63.330530255937695, 10.08027509989683)","(63.330955963579484, 10.079866580988902)"
246,118.99993991851807,"(63.330534553121154, 10.080275959333523)","(63.330958255410664, 10.079866580988902)"
247,119.97619700431824,"(63.33053885030462, 10.080276818770216)","(63.330960547241844, 10.079866580988902)"
248,120.00041103363037,"(63.33054343396699, 10.080277678206908)","(63.330962839073024, 10.079866580988902)"
249,120.97619700431824,"(63.330548017629354, 10.080278537643602)","(63.330965130904204, 10.079866580988902)"
250,120.99994492530823,"(63.33055231481282, 10.080279397080293)","(63.330967422735384, 10.079866580988902)"
251,121.97635102272034,"(63.33055661199628, 10.080280256516986)","(63.330969714566564, 10.079866580988902)"
252,121.99993801116943,"(63.33056119565864, 10.080281115953678)","(63.330972006397744, 10.079866580988902)"
253,122.97619795799255,"(63.330565779321, 10.080281975390372)","(63.33097401175003, 10.079866580988902)"
254,122.99995994567871,"(63.330570362983366, 10.080282834827065)","(63.33097601710231, 10.079866580988902)"
255,123.97630596160889,"(63.330574946645726, 10.080283694263757)","(63.33097830893349, 10.079866580988902)"
256,123.99996900558472,"(63.33057924382919, 10.08028455370045)","(63.33098060076467, 10.079866580988902)"
257,124.97619104385376,"(63.33058354101265, 10.080285413137142)","(63.330982892595856, 10.0798668674678)"
258,125.0000410079956,"(63.33058812467501, 10.080285986094937)","(63.33098518442704, 10.079867153946697)"
259,125.9762499332428,"(63.33059270833737, 10.080286559052732)","(63.330987476258215, 10.079867153946697)"
260,126.00250101089478,"(63.33059700552083, 10.080287418489426)","(63.330989768089395, 10.079867153946697)"
261,126.9763720035553,"(63.330601302704295, 10.080288277926119)","(63.330992059920575, 10.079867153946697)"
262,126.9999840259552,"(63.330605886366655, 10.080289137362811)","(63.330994351751755, 10.079867153946697)"
263,127.97616314888,"(63.33061047002902, 10.080289996799502)","(63.330996643582935, 10.079867153946697)"
264,127.99993109703064,"(63.33061505369138, 10.080290856236196)","(63.330998935414115, 10.079867153946697)"
265,128.97619700431824,"(63.33061963735374, 10.080291715672889)","(63.3310009407664, 10.079867153946697)"
266,128.9999680519104,"(63.3306239345372, 10.080292288630684)","(63.33100294611868, 10.079867153946697)"
267,129.97630906105042,"(63.33062823172067, 10.080292861588479)","(63.33100523794986, 10.079867153946697)"
268,130.00011610984802,"(63.33063281538303, 10.080293721025171)","(63.33100752978104, 10.079867153946697)"
269,130.97630500793457,"(63.330637399045386, 10.080294580461866)","(63.33100982161222, 10.079867153946697)"
270,130.9999430179596,"(63.330641982707746, 10.080295439898558)","(63.3310121134434, 10.079867153946697)"
271,131.97665214538574,"(63.33064656637011, 10.08029629933525)","(63.33101440527459, 10.079867153946697)"
272,131.99994611740112,"(63.33065086355357, 10.080296872293045)","(63.331016697105774, 10.079867153946697)"
273,132.97626900672913,"(63.33065516073704, 10.08029744525084)","(63.33101898893695, 10.079867440425595)"
274,132.9999680519104,"(63.3306597443994, 10.080298304687535)","(63.33102128076813, 10.079867726904492)"
275,133.9766230583191,"(63.33066432806176, 10.080299164124227)","(63.33102357259931, 10.079867726904492)"
276,133.99994611740112,"(63.330668625245224, 10.080299737082022)","(63.33102586443049, 10.079867726904492)"
277,134.9762179851532,"(63.33067292242868, 10.080300310039815)","(63.33102786978277, 10.079867726904492)"
278,134.99994707107544,"(63.33067750609105, 10.080301169476508)","(63.33102987513506, 10.079867726904492)"
